adj.P.Val	P.Value	AveExpr	t	B	logFC	Gene.symbol	Gene.ID	Gene.title	normalized_logFC
0.77605968194396	0.0249400324890961	8.288884	-2.42698973860187	-3.54900725931863	-0.249339533333334	TMED5	50999	transmembrane p24 trafficking protein 5	0.2541302590772201
0.77605968194396	0.05982275797015	11.6358926315789	-1.99689698207814	-3.9670727929818	-0.112757333333333	TMED10	10972	transmembrane p24 trafficking protein 10	0.4128963880996883
0.77605968194396	0.0602264467850564	6.38704242105263	-1.99345419334475	-3.97027002247092	-0.325560099999999	TMED10	10972	transmembrane p24 trafficking protein 10	0.1655298095196258
0.77605968194396	0.0788339016136713	4.669869	1.85347208966694	-4.09777616146239	0.169651000000001	TMED3	23423	transmembrane p24 trafficking protein 3	0.7411739959213524
0.77605968194396	0.0939078164927298	4.08965042105263	1.76000312935712	-4.1799827605919	0.160717033333332	TMED4	222068	transmembrane p24 trafficking protein 4	0.7307889581603346
0.784469063583233	0.152758580859165	8.61258857894737	1.48725909585192	-4.40423015104217	0.413353822222222	TMED4	222068	transmembrane p24 trafficking protein 4	1.0244594732095529
0.812116232215477	0.227718678133559	7.95225310526316	-1.24500651646648	-4.58057002150084	-0.197547211111114	TMED5	50999	transmembrane p24 trafficking protein 5	0.3143347843543509
0.83494033885134	0.292723216825039	3.89643684210526	1.08103305112972	-4.68581831312155	0.094713611111112	TMED4	222068	transmembrane p24 trafficking protein 4	0.654065140207063
0.840433164365512	0.306972321156759	8.75540221052632	1.0487547857239	-4.70508253649572	0.0943251000000025	TMED9	54732	transmembrane p24 trafficking protein 9	0.6536135264155645
0.840433164365512	0.307321982558942	8.60128	-1.04797633261099	-4.70554102908784	-0.0866832777777784	TMED4	222068	transmembrane p24 trafficking protein 4	0.4432054391215061
0.851920114631194	0.344725754295391	7.50535736842105	0.968080372159055	-4.75104275015675	0.0897970999999984	TMED1	11018	transmembrane p24 trafficking protein 1	0.6483500804305518
0.856297972204967	0.353432415261077	10.9879247368421	-0.950355183668571	-4.76071372838396	-0.077980777777773	TMED5	50999	transmembrane p24 trafficking protein 5	0.4533214149794062
0.872578499915572	0.401797500898719	6.74098705263158	-0.856889142965997	-4.80909446886203	-0.180706144444445	TMED5	50999	transmembrane p24 trafficking protein 5	0.333911207660436
0.874094585809248	0.407002788259362	7.08716052631579	-0.847280022511034	-4.81381514840512	-0.124621788888891	TMED3	23423	transmembrane p24 trafficking protein 3	0.3991048861212825
0.906899909824841	0.540690409845999	8.35390584210526	-0.622582716978928	-4.91019457716444	-0.0667534555555562	TMED4	222068	transmembrane p24 trafficking protein 4	0.4663722992711321
0.934329884872408	0.654722278595964	11.2399863157895	-0.454088470320247	-4.96410077786599	-0.0311424444444395	TMED2	10959	transmembrane p24 trafficking protein 2	0.5077673154935098
0.945781229382436	0.704237440103807	8.61477947368421	-0.385164732999526	-4.98143631706529	-0.155028233333335	TMED2	10959	transmembrane p24 trafficking protein 2	0.3637597717375556
0.949118005082567	0.72211428523051	3.12318626315789	-0.360759229798942	-4.98690698414285	-0.0197159555555562	TMED5	50999	transmembrane p24 trafficking protein 5	0.5210497154636835
0.949196678927692	0.723672207971022	9.76818447368421	-0.358643151615854	-4.98736477660148	-0.123211044444442	TMED2	10959	transmembrane p24 trafficking protein 2	0.400744766240984
0.949735172244888	0.726840021568722	3.66315247368421	-0.35434556131059	-4.9882863801701	-0.0284778888888884	TMED6	146456	transmembrane p24 trafficking protein 6	0.5108646530024981
0.95022988844096	0.729346652792411	5.44803152631579	-0.350949798916726	-4.98900687327637	-0.0529278222222231	TMED5	50999	transmembrane p24 trafficking protein 5	0.4824435170844143
0.951417214381399	0.734042994831126	4.30314921052632	0.344598931186129	-4.99033606692591	0.0246668777777774	TMED3	23423	transmembrane p24 trafficking protein 3	0.5726412892074269
0.964723469802802	0.791943786297053	10.3016784210526	0.267391388496248	-5.0045802506057	0.0195181111111129	TMED9	54732	transmembrane p24 trafficking protein 9	0.5666562505061448
0.989606774440231	0.926038058944084	3.30954752631579	-0.094024768140116	-5.02354392885969	-0.0059973999999991	TMED3	23423	transmembrane p24 trafficking protein 3	0.5369964637320184
0.990580182784784	0.930166576134849	10.5202878947368	-0.0887614204142771	-5.02383577200205	-0.0080646666666677	TMED10	10972	transmembrane p24 trafficking protein 10	0.5345934278582067
