"adj.P.Val"	"P.Value"	"AveExpr"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.ID"	"Gene.title"
0.679415888772409	0.0612926993887212	-1.48376472178571	1.9473366512225	-4.0274820256108	0.137598908428572	"TMED10"	"10972"	"transmembrane p24 trafficking protein 10"
0.827666951695662	0.228142670544273	0.359487589678571	1.23134722572037	-4.9563388285989	0.0719597243571429	"TMED10"	"10972"	"transmembrane p24 trafficking protein 10"
0.8719772478315	0.329948288116901	-1.49320062707143	0.990961795376692	-5.18586268181384	0.122935496571429	"TMED10P1"	"286102"	"transmembrane p24 trafficking protein 10 pseudogene 1"
0.938999084658643	0.582241440728805	0.872693670428571	0.556383786444073	-5.48148863169703	0.0442780582857141	"TMED1"	"11018"	"transmembrane p24 trafficking protein 1"
0.951566532459228	0.637616432893556	0.0552300178571429	-0.476064046184008	-5.51847891678468	-0.0641865192857143	"TMED5"	"50999"	"transmembrane p24 trafficking protein 5"
0.955417325604368	0.653813551466288	-1.61130140457143	0.453176920031869	-5.52798486950564	0.0592409597142856	"TMED6"	"146456"	"transmembrane p24 trafficking protein 6"
0.972597980111305	0.748821897988623	-0.0354165578928571	0.323272520256101	-5.5731752296634	0.0353276536428571	"TMED5"	"50999"	"transmembrane p24 trafficking protein 5"
0.976659425954094	0.766929110368517	-0.545055990571429	-0.299205948451673	-5.57990232763747	-0.0264644255714286	"TMED2"	"10959"	"transmembrane p24 trafficking protein 2"
0.979009880858882	0.788394962221042	-2.20450005128571	0.2709039242688	-5.58715217773146	0.0224399361428569	"TMED9"	"54732"	"transmembrane p24 trafficking protein 9"
0.981504426492568	0.808601110320199	1.24173434907143	0.244466302988886	-5.59327775567655	0.0239571978571422	"TMED5"	"50999"	"transmembrane p24 trafficking protein 5"
0.9892312814172	0.861200603661831	-0.4212850205	0.17641583267279	-5.6061648703641	0.0140548994285715	"TMED7"	"51014"	"transmembrane p24 trafficking protein 7"
0.992312727694112	0.896928189687841	-2.94769021175	-0.130689953827183	-5.61248864746486	-0.0100002290714269	"TMED3"	"23423"	"transmembrane p24 trafficking protein 3"
0.992825248253878	0.907785082659682	-0.369406236642857	-0.116855085449595	-5.61403142795655	-0.0104941898571426	"TMED2"	"10959"	"transmembrane p24 trafficking protein 2"
0.996132147543564	0.937944782523554	0.0932268040714286	0.0785352938085633	-5.61740503054414	0.00861418442857144	"TMED4"	"222068"	"transmembrane p24 trafficking protein 4"
